"","MetaZ"
"ENSG00000176619",6.73329527826539
"ENSG00000058804",5.80869282441684
"ENSG00000074800",5.79773843673307
"ENSG00000180198",5.72536136644587
"ENSG00000136261",5.65038956322815
"ENSG00000090621",5.5797195950683
"ENSG00000116649",5.41927257487671
"ENSG00000117877",5.38730664987919
"ENSG00000055044",5.24146713351936
"ENSG00000155438",5.16357176663592
"ENSG00000132507",5.14731438479255
"ENSG00000143179",5.13344132247583
"ENSG00000101361",5.120549569436
"ENSG00000160208",5.09861113065784
"ENSG00000171793",5.04155680095916
"ENSG00000159131",4.99161865524384
"ENSG00000132382",4.94872971884048
"ENSG00000065911",4.78595455252548
"ENSG00000163468",4.77899839450932
"ENSG00000130816",4.69044436064109
"ENSG00000142864",4.68595673761001
"ENSG00000163811",4.68122714740208
"ENSG00000053372",4.63222304007986
"ENSG00000177192",4.61879310581243
"ENSG00000198176",4.54592554343405
"ENSG00000137309",4.39123327057657
"ENSG00000111641",4.37087952851269
"ENSG00000161960",4.22776241366173
"ENSG00000160818",4.18470308492117
"ENSG00000136045",4.09182601280562
"ENSG00000163872",3.99967541843764
"ENSG00000105447",3.99516377063525
"ENSG00000068654",3.86777022509172
"ENSG00000115053",3.82946514926412
"ENSG00000067533",3.78655959077728
"ENSG00000175792",3.64622337181591
"ENSG00000184220",3.5547895390837
"ENSG00000163938",3.50312267977417
"ENSG00000115368",3.49734910582964
"ENSG00000107833",3.4076983810075
"ENSG00000010165",3.33204261610133
"ENSG00000141076",3.31388186138364
"ENSG00000130713",3.21565143542313
"ENSG00000204394",3.19299032539451
"ENSG00000082516",3.14841756809319
"ENSG00000099901",2.85044011718948
"ENSG00000125630",2.79932166222404
"ENSG00000181163",2.78659310429284
"ENSG00000065427",2.69105988327562
"ENSG00000166012",2.68464620047955
"ENSG00000114767",2.66282969525418
"ENSG00000179409",2.50198657423614
"ENSG00000114491",2.47075082205676
"ENSG00000100462",2.22292933721643
"ENSG00000089157",2.13553833236738
"ENSG00000137955",1.9294830615213
"ENSG00000165271",1.85649904929114
"ENSG00000109534",1.73936420705116
"ENSG00000141101",1.6812404283222
"ENSG00000060138",1.62735642322689
"ENSG00000171490",1.58449139207098
"ENSG00000100823",1.1906096594633
"ENSG00000247626",1.18028526025549
"ENSG00000180817",1.03413378706936
"ENSG00000178035",0.89002633637342
"ENSG00000084092",-0.226440220234334
"ENSG00000120158",-0.351813496996257
